Identificação;Mês;Nome do Produto;Un;Quantidade;Custo Unitário;Custo Total;Valor Unitário;Valor Total;Margem
1522;Janeiro;M/M PIQUET 50%POL/50%ALG - BEGE;KG;2,5;18,98;47,45;55,9;139,75;66,05
172;Janeiro;M/M PIQUET 50%POL/50%ALG - BRANCO;KG;588,93;24,2595;14.287,17;42,78;25.193,09;43,29
1520;Janeiro;M/M PIQUET 50%POL/50%ALG - CINZA CHUMBO;KG;28,66;26,5101;759,78;51,3;1.470,27;48,32
42;Janeiro;M/M PIQUET 50%POL/50%ALG - GRAFITE;KG;11,05;33,8588;374,14;50,13;553,95;32,46
1470;Janeiro;M/M PIQUET 50%POL/50%ALG - PRETO;KG;114,25;26,3052;3.005,38;49,39;5.642,27;46,73
1521;Janeiro;M/M PIQUET 50%POL/50%ALG - VD BANDEIRA;KG;90,89;28,8098;2.618,53;52,42;4.764,63;45,04
1473;Janeiro;M/M PIQUET 50%POL/50%ALG - VERDE MUSGO;KG;106,36;27,59;2.934,48;48,9;5.200,53;43,57
1464;Janeiro;M/M PIQUET 50%POL/50%ALG - VERMELHO;KG;26,4;27,5397;727,05;49,94;1.318,46;44,86
1602;Janeiro;M/M PIQUET 50%POL/50%ALG - VINHO;KG;27,17;28,5697;776,24;46,84;1.272,56;39
1659;Janeiro;M/M PIQUET 65%POLI. 35%VISC - CZ PRATA;KG;15,8;26,3594;416,48;48,29;763,01;45,42
1552;Janeiro;M/M PIQUET 65%POLI. 35%VISC - MESCLA;KG;140,26;22,6689;3.179,54;46,62;6.538,83;51,37
1621;Janeiro;M/M PV 65%POLIEST. 35%VISC. - AM CANARIO;KG;232,43;25,46;5.917,68;39,91;9.277,23;36,21
1628;Janeiro;M/M PV 65%POLIEST. 35%VISC. - AM OURO;KG;74,9;24,8299;1.859,76;40,48;3.032,21;38,67
1607;Janeiro;M/M PV 65%POLIEST. 35%VISC. - AZ MARINHO;KG;2750,77;22,7824;62.669,15;38,86;106.901,09;41,38
1645;Janeiro;M/M PV 65%POLIEST. 35%VISC. - AZUL BEBE;KG;107,35;22,8899;2.457,24;36,04;3.868,43;36,48
1606;Janeiro;M/M PV 65%POLIEST. 35%VISC. - AZUL ROYAL;KG;2481,36;24,1296;59.874,34;38,84;96.388,33;37,88
1631;Janeiro;M/M PV 65%POLIEST. 35%VISC. - BANDEIRA;KG;147,37;23,7299;3.497,09;41,39;6.099,07;42,66
1612;Janeiro;M/M PV 65%POLIEST. 35%VISC. - BEGE AREIA;KG;180,91;25,3399;4.584,25;38,16;6.903,56;33,6
1544;Janeiro;M/M PV 65%POLIEST. 35%VISC. - BRANCO;KG;4767,32;19,9309;95.017,32;34,74;165.608,55;42,63
1644;Janeiro;M/M PV 65%POLIEST. 35%VISC. - CAQUI;KG;326,65;24,1399;7.885,33;37,67;12.305,11;35,92
1632;Janeiro;M/M PV 65%POLIEST. 35%VISC. - CELESTE;KG;131,48;23,64;3.108,19;36,92;4.853,83;35,96
1629;Janeiro;M/M PV 65%POLIEST. 35%VISC. - CZ CHUMBO;KG;759,42;21,0106;15.955,93;39,71;30.159,58;47,09
1662;Janeiro;M/M PV 65%POLIEST. 35%VISC. - CZ FORTE;KG;158,62;25,7699;4.087,63;36,32;5.760,56;29,04
1617;Janeiro;M/M PV 65%POLIEST. 35%VISC. - CZ PRATA;KG;538,58;22,5432;12.141,33;36,85;19.848,33;38,83
1627;Janeiro;M/M PV 65%POLIEST. 35%VISC. - ESMERALDA;KG;54,96;22,1199;1.215,71;38,06;2.091,88;41,88
1610;Janeiro;M/M PV 65%POLIEST. 35%VISC. - FERRARI;KG;429,5;26,33;11.308,77;39,12;16.803,45;32,7
1635;Janeiro;M/M PV 65%POLIEST. 35%VISC. - GRAFITE;KG;1025,8;22,559;23.141,04;39,8;40.822,72;43,31
1622;Janeiro;M/M PV 65%POLIEST. 35%VISC. - JADE;KG;421,65;24,5336;10.344,61;39,37;16.598,57;37,68
1615;Janeiro;M/M PV 65%POLIEST. 35%VISC. - LARANJA;KG;917,91;22,4347;20.593,12;40,1;36.809,29;44,05
1643;Janeiro;M/M PV 65%POLIEST. 35%VISC. - MARROM;KG;42,66;25,3802;1.082,72;43,33;1.848,37;41,42
1634;Janeiro;M/M PV 65%POLIEST. 35%VISC. - MOTORISTA;KG;759,28;21,564;16.373,16;38,31;29.090,25;43,72
1641;Janeiro;M/M PV 65%POLIEST. 35%VISC. - PEROLA;KG;114;24,38;2.779,33;40,1;4.571,50;39,2
1619;Janeiro;M/M PV 65%POLIEST. 35%VISC. - PETROLEO;KG;628,32;21,7439;13.662,19;40,68;25.559,50;46,55
1616;Janeiro;M/M PV 65%POLIEST. 35%VISC. - PINK;KG;136,63;24,37;3.329,68;41,22;5.631,41;40,87
1609;Janeiro;M/M PV 65%POLIEST. 35%VISC. - PRETO;KG;2683,94;22,982;61.682,44;39,22;105.266,41;41,4
1625;Janeiro;M/M PV 65%POLIEST. 35%VISC. - ROXO;KG;121,62;21,7501;2.645,25;41,08;4.995,87;47,05
1611;Janeiro;M/M PV 65%POLIEST. 35%VISC. - VD FOLHA;KG;846,37;24,9091;21.082,39;39,83;33.712,73;37,46
1626;Janeiro;M/M PV 65%POLIEST. 35%VISC. - VD LIMAO;KG;56,26;24,5902;1.383,45;42,28;2.378,75;41,84
1623;Janeiro;M/M PV 65%POLIEST. 35%VISC. - VD MUSGO;KG;260,54;25,6899;6.693,27;39,62;10.321,69;35,15
1624;Janeiro;M/M PV 65%POLIEST. 35%VISC. - VERDE AGUA;KG;120,47;21,52;2.592,52;38,23;4.605,14;43,7
1608;Janeiro;M/M PV 65%POLIEST. 35%VISC. - VERMELHO;KG;263,82;24,7666;6.533,95;40,34;10.642,67;38,61
1620;Janeiro;M/M PV 65%POLIEST. 35%VISC. - VINHO;KG;304,35;22,9058;6.971,41;38;11.566,82;39,73
1454;Janeiro;M/M PV 65%POLIESTER/35%VISCOSE-CAM. 02;KG;9,75;23,6;230,1;50;487,5;52,8
842;Janeiro;M/M PV 67%POLIEST. 33%VISC. - MESCLA;KG;1653,12;20,3786;33.688,36;38,2;63.150,04;46,65
1494;Janeiro;PUNHO AD. 50%ALG / 50%POLI - AZ MARINHO;PC;400;0,57;228;2,35;939;75,72
1007;Janeiro;PUNHO AD. 50%ALG / 50%POLI - AZUL ROYAL;PC;286;0,66;188,76;2,32;662,1;71,49
1556;Janeiro;PUNHO AD. 50%ALG / 50%POLI - BEGE;PC;31;0,4;12,4;2,5;77,5;84
1004;Janeiro;PUNHO AD. 50%ALG / 50%POLI - BRANCO;PC;322;0,5412;174,28;2,33;749,6;76,75
1550;Janeiro;PUNHO AD. 50%ALG / 50%POLI - CINZA PRATA;PC;30;0,62;18,6;2,33;70;73,43
1557;Janeiro;PUNHO AD. 50%ALG / 50%POLI - CZ CHUMBO;PC;52;0,61;31,72;2,42;125,8;74,79
1006;Janeiro;PUNHO AD. 50%ALG / 50%POLI - GRAFITE;PC;53;0,73;38,69;2,3;121,9;68,26
1558;Janeiro;PUNHO AD. 50%ALG / 50%POLI - MOTORISTA;PC;38;0,57;21,66;2,4;91,2;76,25
1492;Janeiro;PUNHO AD. 50%ALG / 50%POLI - PRETO;PC;282;0,75;211,5;2,33;656,1;67,76
1541;Janeiro;PUNHO AD. 50%ALG / 50%POLI - VD BANDEIRA;PC;131;0,57;74,67;2,39;312,5;76,11
1549;Janeiro;PUNHO AD. 50%ALG / 50%POLI - VERDE MUSGO;PC;265;0,69;182,85;2,35;622,7;70,64
1493;Janeiro;PUNHO AD. 50%ALG / 50%POLI - VERMELHO;PC;62;0,64;39,68;2,43;150,4;73,62
1604;Janeiro;PUNHO AD. 50%ALG / 50%POLI - VINHO;PC;110;0,63;69,3;2,31;254,2;72,74
282;Janeiro;PUNHO M/M 98% ALG 2% ELAST - BRANCO;KG;10,05;25,5303;256,58;46,62;468,5;45,23
1225;Janeiro;PUNHO M/M 98% ALG 2% ELAST - PRETO;KG;3,3;28,8212;95,11;49,39;163;41,65
1554;Janeiro;PUNHO PV RETILINEO - MESCLA;PC;451;0,54;243,54;2,22;1.002,20;75,7
1293;Janeiro;RIBANA PV 65%P / 35%V - AMARELO CANARIO;KG;20,044;26,1804;524,76;47,68;955,67;45,09
1098;Janeiro;RIBANA PV 65%P / 35%V - AMARELO OURO;KG;10,45;25,8794;270,44;47,53;496,72;45,55
119;Janeiro;RIBANA PV 65%P / 35%V - AZUL BEBE;KG;1,15;21,2869;24,48;49,95;57,44;57,38
122;Janeiro;RIBANA PV 65%P / 35%V - AZUL MARINHO;KG;109,795;27,4667;3.015,71;47,69;5.236,26;42,41
1298;Janeiro;RIBANA PV 65%P / 35%V - AZUL MOTORISTA;KG;7,13;26,8148;191,19;48,06;342,65;44,2
120;Janeiro;RIBANA PV 65%P / 35%V - AZUL ROYAL;KG;85,39;28,5205;2.435,37;47,22;4.032,33;39,6
1630;Janeiro;RIBANA PV 65%P / 35%V - BEGE AREIA;KG;5,71;26,0612;148,81;45,38;259,13;42,57
114;Janeiro;RIBANA PV 65%P / 35%V - BRANCO;KG;121,46;25,0734;3.045,42;47,11;5.722,35;46,78
1595;Janeiro;RIBANA PV 65%P / 35%V - CAQUI;KG;9,57;26,3908;252,56;46,41;444,1;43,13
1593;Janeiro;RIBANA PV 65%P / 35%V - CELESTE;KG;1,2;26,9666;32,36;46,92;56,3;42,52
1507;Janeiro;RIBANA PV 65%P / 35%V - CINZA CHUMBO;KG;20,35;27,6825;563,34;46,85;953,31;40,91
1408;Janeiro;RIBANA PV 65%P / 35%V - CINZA PRATA;KG;10,05;26,0119;261,42;48,02;482,6;45,83
1591;Janeiro;RIBANA PV 65%P / 35%V - ESMERALDA;KG;0,11;28,8181;3,17;49,91;5,49;42,26
1498;Janeiro;RIBANA PV 65%P / 35%V - FERRARI;KG;52,88;28,7802;1.521,90;47,68;2.521,43;39,64
1586;Janeiro;RIBANA PV 65%P / 35%V - GRAFITE;KG;35,77;28,5471;1.021,13;47,13;1.685,67;39,42
1499;Janeiro;RIBANA PV 65%P / 35%V - JADE;KG;11,54;28,8977;333,48;47,51;548,28;39,18
1186;Janeiro;RIBANA PV 65%P / 35%V - LARANJA;KG;32,99;27,7966;917,01;46,94;1.548,64;40,79
1441;Janeiro;RIBANA PV 65%P / 35%V - MARROM;KG;0,825;27,3575;22,57;48,98;40,41;44,15
177;Janeiro;RIBANA PV 65%P / 35%V - MESCLA;KG;24,05;20,6133;495,75;47,24;1.136,22;56,37
917;Janeiro;RIBANA PV 65%P / 35%V - PEROLA;KG;0,64;25,5468;16,35;47,48;30,39;46,2
1374;Janeiro;RIBANA PV 65%P / 35%V - PETROLEO;KG;12,935;28,3571;366,8;47,16;609,99;39,87
1247;Janeiro;RIBANA PV 65%P / 35%V - PINK;KG;8,21;27,6906;227,34;47,59;390,72;41,82
124;Janeiro;RIBANA PV 65%P / 35%V - PRETO;KG;131,07;27,9677;3.665,73;47,58;6.235,88;41,22
1295;Janeiro;RIBANA PV 65%P / 35%V - ROXO;KG;4;28,47;113,88;47;188;39,43
121;Janeiro;RIBANA PV 65%P / 35%V - VERDE AGUA;KG;0,765;26,9281;20,6;49,22;37,65;45,29
237;Janeiro;RIBANA PV 65%P / 35%V - VERDE BANDEIRA;KG;4,09;30,4498;124,54;48,5;198,38;37,22
1506;Janeiro;RIBANA PV 65%P / 35%V - VERDE FOLHA;KG;63,19;30,1906;1.907,75;46,77;2.955,39;35,45
951;Janeiro;RIBANA PV 65%P / 35%V - VERDE LIMAO;KG;9,905;27,9101;276,45;45,81;453,78;39,08
1286;Janeiro;RIBANA PV 65%P / 35%V - VERDE MUSGO;KG;13,88;29,01;402,66;46,27;642,18;37,3
118;Janeiro;RIBANA PV 65%P / 35%V - VERMELHO;KG;9,445;29,0248;274,14;47,92;452,58;39,43
1301;Janeiro;RIBANA PV 65%P / 35%V - VINHO;KG;4,24;28,849;122,32;46,16;195,72;37,5
1455;Janeiro;TACTEL - 100% POLIESTER - AZUL NOITE;MT;10;4,02;40,2;12,5;125;67,84
1257;Janeiro;TACTEL - 100% POLIESTER - MARINHO;MT;10;4,58;45,8;12,5;125;63,36
1256;Janeiro;TACTEL - 100% POLIESTER - ROYAL BIC;MT;15;4,51;67,65;12;180;62,42
1469;Janeiro;TACTEL - 100% POLIESTER - ROYAL CLARO;MT;30;4,5;135;8;240;43,75
1467;Fevereiro;GOLA AD. 50%ALG/50%POLI - AZUL MARINHO;PC;987;0,867;855,76;2,33;2.303,50;62,85
1476;Fevereiro;GOLA AD. 50%ALG/50%POLI - AZUL MOTORISTA;PC;142;0,85;120,7;2,26;321,6;62,47
1002;Fevereiro;GOLA AD. 50%ALG/50%POLI - AZUL ROYAL;PC;186;0,84;156,24;2,36;439;64,41
1527;Fevereiro;GOLA AD. 50%ALG/50%POLI - BEGE;PC;84;0,74;62,16;2,4;201,6;69,17
996;Fevereiro;GOLA AD. 50%ALG/50%POLI - BRANCO;PC;4276;0,6921;2.959,63;2,49;10.654,00;72,22
1528;Fevereiro;GOLA AD. 50%ALG/50%POLI - CINZA CHUMBO;PC;165;0,85;140,25;2,38;392,3;64,25
1001;Fevereiro;GOLA AD. 50%ALG/50%POLI - GRAFITE;PC;119;1,095;130,31;2,43;289;54,91
1471;Fevereiro;GOLA AD. 50%ALG/50%POLI - PRETO;PC;577;0,89;513,53;2,27;1.310,80;60,82
1526;Fevereiro;GOLA AD. 50%ALG/50%POLI - VERDE BANDEIRA;PC;1292;0,86;1.111,12;1,92;2.482,20;55,24
1474;Fevereiro;GOLA AD. 50%ALG/50%POLI - VERDE MUSGO;PC;445;0,8897;395,96;2,39;1.065,60;62,84
1466;Fevereiro;GOLA AD. 50%ALG/50%POLI - VERMELHO;PC;190;0,87;165,3;2,34;444,4;62,8
1603;Fevereiro;GOLA AD. 50%ALG/50%POLI - VINHO;PC;29;0,92;26,68;2,41;69,9;61,83
1574;Fevereiro;GOLA AD.65%POLI / 35%VISC - AM CANARIO;PC;36;0,88;31,68;2,47;88,8;64,32
1545;Fevereiro;GOLA AD.65%POLI / 35%VISC - AZ MOTORISTA;PC;78;0,842;65,68;2,47;193;65,97
1537;Fevereiro;GOLA AD.65%POLI / 35%VISC - AZUL MARINHO;PC;850;0,9175;779,9;2,4;2.037,50;61,72
1536;Fevereiro;GOLA AD.65%POLI / 35%VISC - AZUL ROYAL;PC;529;1,0813;572,04;2,36;1.248,40;54,18
1582;Fevereiro;GOLA AD.65%POLI / 35%VISC - BEGE;PC;20;0,6;12;2,5;50;76
1534;Fevereiro;GOLA AD.65%POLI / 35%VISC - BRANCO;PC;132;0,7903;104,32;2,38;314,2;66,8
1648;Fevereiro;GOLA AD.65%POLI / 35%VISC - CINZA CHUMBO;PC;62;0,8283;51,36;2,42;149,9;65,74
1678;Fevereiro;GOLA AD.65%POLI / 35%VISC - CINZA FORTE;PC;250;0,91;227,5;2,1;525;56,67
1576;Fevereiro;GOLA AD.65%POLI / 35%VISC - CINZA PRATA;PC;6;0,86;5,16;2,3;13,8;62,61
1601;Fevereiro;GOLA AD.65%POLI / 35%VISC - FERRARI;PC;73;0,93;67,89;2,32;169,3;59,9
1649;Fevereiro;GOLA AD.65%POLI / 35%VISC - GRAFITE;PC;102;0,92;93,84;2,4;245,1;61,71
1584;Fevereiro;GOLA AD.65%POLI / 35%VISC - JADE;PC;22;0,89;19,58;2,39;52,5;62,7
1651;Fevereiro;GOLA AD.65%POLI / 35%VISC - LARANJA;PC;244;0,9173;223,84;2,38;580,8;61,46
1553;Fevereiro;GOLA AD.65%POLI / 35%VISC - MESCLA;PC;3704;0,8019;2.970,40;2,31;8.547,90;65,25
1583;Fevereiro;GOLA AD.65%POLI / 35%VISC - PETROLEO;PC;27;0,9;24,3;2,3;62,1;60,87
1535;Fevereiro;GOLA AD.65%POLI / 35%VISC - PRETO;PC;234;0,8907;208,44;2,4;561;62,84
1539;Fevereiro;GOLA AD.65%POLI / 35%VISC - VD BANDEIRA;PC;3995;0,9101;3.636,21;2,45;9.805,20;62,92
1581;Fevereiro;GOLA AD.65%POLI / 35%VISC - VERDE FOLHA;PC;688;0,9673;665,52;2,42;1.662,00;59,96
1555;Fevereiro;GOLA AD.65%POLI / 35%VISC - VERDE MUSGO;PC;288;0,93;267,84;2,3;663,8;59,65
1538;Fevereiro;GOLA AD.65%POLI / 35%VISC - VERMELHO;PC;76;0,9;68,4;2,33;176,8;61,31
1600;Fevereiro;GOLA AD.65%POLI / 35%VISC - VINHO;PC;89;1,11;98,79;2,25;200,4;50,7
1660;Fevereiro;GOLA PV RETILINEA  - CZ PRATA;PC;46;0,88;40,48;2,34;107,8;62,45
1251;Fevereiro;HELANCA 100% POLIESTER - AMARELO OURO;KG;2,5;17,708;44,27;35,92;89,81;50,71
1127;Fevereiro;HELANCA 100% POLIESTER - AZUL MARINHO;KG;1262,25;17,1488;21.646,19;31,25;39.447,23;45,13
